job,nextJobs,prevJobs,jobExec,isBase,path
PCOGCP0006,PCOGCP0007,PCOGCP0005,pcog-pe-spk-qlt-branchhierarchiesdailym-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0007,#N/A,PCOGCP0006,pcog-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGPP0001,PCOGCP0008,#N/A,multi_tpt.sh,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0008,PCOGCP0009,PCOGPP0001,pcog-pe-spk-qlt-contractsrelationships-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0009,"PCOGCP0010, PCOGCP0011",PCOGCP0008,pcog-pe-krb-inr-contractsrelationshipp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0010,#N/A,PCOGCP0009,pcog-pe-spk-qlt-contractsrelationshipr-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0011,"PCOGCP0012, PCOGCP0013",PCOGCP0009,pcog-pe-krb-inm-contractsrelationshipp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0012,#N/A,PCOGCP0011,pcog-pe-spk-qlt-contractsrelationshipm-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0013,#N/A,PCOGCP0011,pcog-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PXPUCP4H01,PXPUCP4I01,#N/A,pxpu-pe-spk-qlt-sunatlegalreps-01,TRUE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4I01,"PXPUCP4H02, PXPUCP4I02",PXPUCP4H01,pxpu-pe-krb-inr-sunatlegalrepp-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4H02,#N/A,PXPUCP4I01,pxpu-pe-spk-qlt-sunatlegalrepr-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4I02,"PXPUCP4H03, PCDOCP4038",PXPUCP4I01,pxpu-pe-krb-inm-sunatlegalrepp-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4H03,#N/A,PXPUCP4I02,pxpu-pe-spk-qlt-sunatlegalrepm-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4001,PXPUCP4002,#N/A,pxpu-pe-spk-qlt-sunatbasicinformations-01,TRUE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4002,PXPUCP4003,PXPUCP4001,pxpu-pe-krb-inr-sunatbasicinformationp-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4003,PXPUCP4007,PXPUCP4002,pxpu-pe-spk-qlt-sunatbasicinformationr-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4004,PXPUCP4005,#N/A,pxpu-pe-spk-qlt-sunatadditionalinfos-01,TRUE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4005,PXPUCP4006,PXPUCP4004,pxpu-pe-krb-inr-sunatadditionalinfop-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4006,PXPUCP4007,PXPUCP4005,pxpu-pe-spk-qlt-sunatadditionalinfor-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4007,PXPUCP4008,"PXPUCP4003, PXPUCP4006",pxpu-pe-krb-inm-sunattaxpayersp-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4008,"PXPUCP4009, PXPUCP4010",PXPUCP4007,pxpu-pe-spk-qlt-sunattaxpayersm-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4009,#N/A,PXPUCP4008,pxpu-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PXPUCP4010,#N/A,PXPUCP4008,pxpu-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PXPU/CR-PEXPUMEN-T02.xml
PSTMCP0H01,PSTMCP0I03,#N/A,pstm-pe-spk-qlt-loancontspecsettlconds-01,TRUE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0I03,"PSTMCP0H02, PSTMCP0I04",PSTMCP0H01,pstm-pe-krb-inr-loancontspecsettlcondp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0H02,#N/A,PSTMCP0I03,pstm-pe-spk-qlt-loancontspecsettlcondr-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0I04,PSTMCP0H03,PSTMCP0I03,pstm-pe-krb-inm-loancontspecsettlcondp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0H03,#N/A,PSTMCP0I04,pstm-pe-spk-qlt-loancontspecsettlcondm-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
